Row Labels,American coot,American wigeon,Blue-winged teal,Bufflehead,Canada goose,Canvasback,Gadwall,Generic goldeneye,Generic scaup,Green-winged teal,Mallard,Northern pintail,Northern shoveler,Pond,Redhead,Ring-necked duck,Ruddy duck
1955,20216.74,9932.67,95495.8,0,0,6936.57,0,0,8084.6,0,76196.77,93753.41,15147.29,62275.51,0,0,3139.99
1956,23546.48,8801.86,136711.93,0,0,7057.19,0,0,7822.08,0,83814.19,100550.08,28295.7,68399.26,0,0,4635.59
1957,26696.26,7807.07,171554.57,0,0,7150.18,11950.73,0,7652.62,0,90016.74,105875.01,38931.73,73578.02,4819.93,0,5803.21
1958,21019,6683,231837,0,0,15960,28776,0,3492,4502,109798,113722,14400,82616,12331,0,0
1959,65047,12030,130169,0,0,6870,9008,0,17511,0,51762,8027,9257,22148,5549,0,14777
1960,12943,7519,95713,0,0,1249,43915,0,7184,0,75290,122419,46285,98717,8324,0,3166
1961,32855,1504,130169,0,0,625,19143,0,7184,2026,76466,76261,59245,26261,26358,0,20054
1962,44471,1504,424964,0,0,1249,67562,0,20654,0,97642,212727,98125,97135,26358,0,12666
1963,26573,6188,423865,0,0,5621,98350,0,4490,0,217566,104806,144968,142094,70752,0,14777
1964,5695,1364,228708,0,0,3123,37935,0,898,0,42025,71665,41640,96879,15260,0,2111
1965,40115,0,382182,0,0,9368,95540,0,1347,0,116835,189985,117348,203428,73526,0,6333
1966,84951,0,477383,0,0,18735,134399,0,5837,22285,218187,238011,95874,192764,90174,1617,30609
1967,97588,5456,492821,0,0,10492,83868,0,14009,4052,120071,141748,136761,255754,83792,0,19843
1968,57094,0,316988,0,0,5829,144959,0,7633,4727,131916,61070,66038,148146,33165,0,12666
1969,56322,4574,333460,0,0,18215,116964,0,12871,17220,114406,195357,73133,202062,86917,0,25684
1970,50331,2018,174317,309,0,8468,110928,0,10198,41892,129192,145234,77223,181716,67840,731,8229
1971,27416,1497,281117,0,0,3539,104469,0,10626,5403,110823,80529,38524,104590,41426,180,17240
1972,48533,5264,240661,0,0,9055,104106,0,7184,12831,93619,144859,74417,163736,42948,359,14425
1973,21159,573,148707,0,357.16,3824,71464,0,8330,4135,102757,61304,31459,52055,26275,0,7755
1974,64852,3657,302470,0,875.04,15110,72377,0,6866,16545,85423,106362,40077,179262,40470,0,62274
1975,142235,16640,293202,0,336.55,5919,80276,0,9800,3896,90662,105383,41797,285953,66899,0,45083
1976,22413,8729,104561,0,0,3973,22852,0,11678,2701,106708,55320,24220,221770,21523,539,5049
1977,8302,3698,48492,0,291.68,1517,17766,0,1062,1351,52385,15419,16305,60127,8212,1078,4310
1978,213577,12058,341010,304,0,6928,75177,0,37854,2701,131678,206305,97025,195207,92920,1258,45225
1979,482139,11219,310171,608,291.68,8497,75744,0,42925,6078,161861,144081,149877,268503,79848,539,34744
1980,201471,21549,289707,912,875.04,3385,69678,0,5147,30694,106604,65772,59664,89437,34030,719,38960
1981,49669,26622,43659,0,875.04,6134,62197,0,7383,6455,29438,22840,41610,55160,20221,0,38155
1982,202505,8130,292925,0,7583.71,10523,115822,0,16233,10590,93790,91936,133937,183407,85986,2515,216395
1983,172125,15069,178003,1216,2625.13,2966,117520,0,27365,6581,104895,101762,53837,147520,80699,44732,102409
1984,440659,11550,340766,3649,2041.76,15492,123473,514,23855,3892,124451,116810,83348,269246,65570,1437,98600
1985,91792,12147,157836,0,2333.45,5170,86155,0,29274,21090,81788,45728,33419,126586,41230,539,24381
1986,114648,5607,332349,304,1750.08,9413,88402,0,33453,8552,114144,82033,97009,201734,46350,4850,58821
1987,195233,5184,201764,0,2625.13,7165,74986,1029,17606,7284,117651,51243,84894,170431,28985,1437,28015
1988,251843,16287,204422,0,2916.81,4419,95096,0,35255,7757,98256,52945,38666,74764,30157,898,7478
1989,100595,817,123656,304,4375.21,10699,96817,0,12701,527,87596,35133,60623,117511,47737,5389,20012
1990,55242,1081,83553,0,6854.5,3974,94619,0,17513,2100,33922,14002,24850,39496,3715,3234,29906
1991,9977,5449,71456,0,4666.9,1455,65568,0,14855,3451,61599,18255,20196,36067,7749,823,11386
1992,10686.41,6800.49,87638.58,386,7583.71,1107.4,84769.88,0,8342.41,0,75518.35,24021.08,28484.43,47877.64,9328.52,3171.91,6792.05
1993,46075.75,1778.16,109440.65,2008.08,3937.69,6851.11,115005.07,0,11306.02,2559.67,117532.05,59780.61,81755.65,162996.62,53150.98,425.03,20817.01
1994,378050.01,20360.34,436811.29,1904.72,6708.66,17988.39,149271.71,0,43616.79,11301.8,305975.67,136689.54,213762.47,275531.66,60621.18,708.73,30496.21
1995,426584.29,15227.59,468361.94,1856.71,14000.7,5938.23,233106.53,0,56518.14,9574.02,320491.38,134865.12,161740.39,347969.55,82081.75,13157.55,28214.44
1996,513871.42,14611.82,675744.8,816.02,17493.08,8691.07,312572.12,0,33639.23,27261.4,359119.24,95269.13,212864.85,386129.16,87566.62,2934.79,28624.54
1997,508654.52,16228.95,459282.75,0,29578.45,10864.58,220957.1,0,45944.07,21954.97,411989.07,121039.14,128869.55,393343.59,67348.54,5850.86,49701.75
1998,222030.55,22053.08,634494.2,264.27,23375.24,6625.28,336971.65,0,61594.56,12689.79,363871.26,98255.38,108665.82,359009.33,106020.66,3440.14,44680.41
1999,308352.77,20272.09,735274.53,267.13,33166.8,5667.28,320760.04,0,59777.81,15183.1,459886.04,106022.76,139911.98,361253.19,91092.61,14027.26,89506.8
2000,341340.01,28146.41,866245.76,262.85,53059.06,5504.4,432002.56,0,92062.85,19347.27,479868.66,88919.9,187182.96,242361.86,78526.52,3619.57,66379.34
2001,55926.62,33960.26,603609.52,511.55,73991.67,3592.86,246014.14,0,65969.4,5986.28,471018.17,95080.49,163928.57,222100.86,37492.19,6873.13,56392.21
2002,66657.82,19652.33,474173.18,645.71,48145.53,7737.78,248060.97,0,51352.4,8911.12,416973.48,65837.56,106408.22,192462.91,50582.39,11236.85,50820.83
2003,5503.17,14303.91,408808.88,264.95,64768.34,2810.97,185165.9,0,61309.43,7384.55,322507.35,15483.82,67453.46,277124.59,13097.27,6401.04,20359.57
2004,27777.42,10414.22,328138.56,0,67744.11,3486.25,282174.25,0,138781.56,24087.83,347195.3,75561.59,76854.48,163802.09,27851.28,1873.98,33797.27
2005,8166.97,23088.64,255287.77,259.86,86014.73,5463.83,163351.11,0,38074.85,11930.91,331111.99,79439.32,108188.46,174945.1,23219.4,3162.05,11637.15
2006,38508.91,17002.5,336300.64,1037.85,79482.11,3540.07,159666.96,0,56292.3,28046.6,393173.48,54717.36,100086.9,225161.03,37687.94,314.77,50049.28
2007,81827.77688,17133.43771,484634.3542,262.1183706,107968.3655,7533.135434,300891.9862,0,47931.20859,7226.038716,513192.9811,136921.5547,170599.4232,248581.8835,80360.57514,3357.864504,51730.39357
2008,147878,16015,532684,1008,73695,6237,221408,0,57891,5056,331024,52752,160594,138810,65258,4191,85799
2009,248232,23216,921673,506,99959,9740,251033,0,67914,17839,529954,208582,339557,360815,111198,7800,40615
