YEAR,STRATUM,AOU,SPECIES,POP
1955,45,1320,Mallard,93422.23
1955,45,1350,Gadwall,0
1955,45,1370,American wigeon,15142.93
1955,45,1390,Green-winged teal,0
1955,45,1400,Blue-winged teal,133027.85
1955,45,1420,Northern shoveler,9824.45
1955,45,1430,Northern pintail,166381.14
1955,45,1460,Redhead,6215.87
1955,45,1470,Canvasback,4614.05
1955,45,1499,Generic scaup,10605.03
1955,45,1500,Ring-necked duck,605.85
1955,45,1519,Generic goldeneye,0
1955,45,1530,Bufflehead,0
1955,45,1670,Ruddy duck,8023.02
1955,45,1720,Canada goose,0
1955,45,2210,American coot,20929.76
1955,45,9991,Pond,73723.32
1955,46,1320,Mallard,76196.77
1955,46,1350,Gadwall,0
1955,46,1370,American wigeon,9932.67
1955,46,1390,Green-winged teal,0
1955,46,1400,Blue-winged teal,95495.8
1955,46,1420,Northern shoveler,15147.29
1955,46,1430,Northern pintail,93753.41
1955,46,1460,Redhead,0
1955,46,1470,Canvasback,6936.57
1955,46,1499,Generic scaup,8084.6
1955,46,1500,Ring-necked duck,0
1955,46,1519,Generic goldeneye,0
1955,46,1530,Bufflehead,0
1955,46,1670,Ruddy duck,3139.99
1955,46,1720,Canada goose,0
1955,46,2210,American coot,20216.74
1955,46,9991,Pond,62275.51
1956,45,1320,Mallard,109392.67
1956,45,1350,Gadwall,0
1956,45,1370,American wigeon,13227.54
1956,45,1390,Green-winged teal,0
1956,45,1400,Blue-winged teal,156181.9
1956,45,1420,Northern shoveler,25321.54
1956,45,1430,Northern pintail,182620.19
1956,45,1460,Redhead,12423.53
1956,45,1470,Canvasback,5920.59
1956,45,1499,Generic scaup,10134.94
1956,45,1500,Ring-necked duck,576.67
1956,45,1519,Generic goldeneye,0
1956,45,1530,Bufflehead,0
1956,45,1670,Ruddy duck,6636.02
1956,45,1720,Canada goose,0
1956,45,2210,American coot,20848.9
1956,45,9991,Pond,93028.95
1956,46,1320,Mallard,83814.19
1956,46,1350,Gadwall,0
1956,46,1370,American wigeon,8801.86
1956,46,1390,Green-winged teal,0
1956,46,1400,Blue-winged teal,136711.93
1956,46,1420,Northern shoveler,28295.7
1956,46,1430,Northern pintail,100550.08
1956,46,1460,Redhead,0
1956,46,1470,Canvasback,7057.19
1956,46,1499,Generic scaup,7822.08
1956,46,1500,Ring-necked duck,0
1956,46,1519,Generic goldeneye,0
1956,46,1530,Bufflehead,0
1956,46,1670,Ruddy duck,4635.59
1956,46,1720,Canada goose,0
1956,46,2210,American coot,23546.48
1956,46,9991,Pond,68399.26
1957,45,1320,Mallard,127408.75
1957,45,1350,Gadwall,0
1957,45,1370,American wigeon,11706.35
1957,45,1390,Green-winged teal,0
1957,45,1400,Blue-winged teal,181534.03
1957,45,1420,Northern shoveler,40943.36
1957,45,1430,Northern pintail,197785.19
1957,45,1460,Redhead,18491.03
1957,45,1470,Canvasback,7120.71
1957,45,1499,Generic scaup,9822.92
1957,45,1500,Ring-necked duck,552.96
1957,45,1519,Generic goldeneye,0
1957,45,1530,Bufflehead,0
1957,45,1670,Ruddy duck,5741.19
1957,45,1720,Canada goose,0
1957,45,2210,American coot,21222.69
1957,45,9991,Pond,110419.36
1957,46,1320,Mallard,90016.74
1957,46,1350,Gadwall,11950.73
1957,46,1370,American wigeon,7807.07
1957,46,1390,Green-winged teal,0
1957,46,1400,Blue-winged teal,171554.57
1957,46,1420,Northern shoveler,38931.73
1957,46,1430,Northern pintail,105875.01
1957,46,1460,Redhead,4819.93
1957,46,1470,Canvasback,7150.18
1957,46,1499,Generic scaup,7652.62
1957,46,1500,Ring-necked duck,0
1957,46,1519,Generic goldeneye,0
1957,46,1530,Bufflehead,0
1957,46,1670,Ruddy duck,5803.21
1957,46,1720,Canada goose,0
1957,46,2210,American coot,26696.26
1957,46,9991,Pond,73578.02
1958,45,1320,Mallard,259585
1958,45,1350,Gadwall,16003
1958,45,1370,American wigeon,17997
1958,45,1390,Green-winged teal,0
1958,45,1400,Blue-winged teal,274917
1958,45,1420,Northern shoveler,48470
1958,45,1430,Northern pintail,210158
1958,45,1460,Redhead,21791
1958,45,1470,Canvasback,14715
1958,45,1499,Generic scaup,6381
1958,45,1500,Ring-necked duck,0
1958,45,1519,Generic goldeneye,0
1958,45,1530,Bufflehead,0
1958,45,1670,Ruddy duck,1579
1958,45,1720,Canada goose,0
1958,45,2210,American coot,34505
1958,45,9991,Pond,132297
1958,46,1320,Mallard,109798
1958,46,1350,Gadwall,28776
1958,46,1370,American wigeon,6683
1958,46,1390,Green-winged teal,4502
1958,46,1400,Blue-winged teal,231837
1958,46,1420,Northern shoveler,14400
1958,46,1430,Northern pintail,113722
1958,46,1460,Redhead,12331
1958,46,1470,Canvasback,15960
1958,46,1499,Generic scaup,3492
1958,46,1500,Ring-necked duck,0
1958,46,1519,Generic goldeneye,0
1958,46,1530,Bufflehead,0
1958,46,1670,Ruddy duck,0
1958,46,1720,Canada goose,0
1958,46,2210,American coot,21019
1958,46,9991,Pond,82616
1959,45,1320,Mallard,86162
1959,45,1350,Gadwall,4387
1959,45,1370,American wigeon,12888
1959,45,1390,Green-winged teal,0
1959,45,1400,Blue-winged teal,170033
1959,45,1420,Northern shoveler,36064
1959,45,1430,Northern pintail,54729
1959,45,1460,Redhead,9728
1959,45,1470,Canvasback,0
1959,45,1499,Generic scaup,2799
1959,45,1500,Ring-necked duck,0
1959,45,1519,Generic goldeneye,0
1959,45,1530,Bufflehead,0
1959,45,1670,Ruddy duck,9046
1959,45,1720,Canada goose,0
1959,45,2210,American coot,28444
1959,45,9991,Pond,66316
1959,46,1320,Mallard,51762
1959,46,1350,Gadwall,9008
1959,46,1370,American wigeon,12030
1959,46,1390,Green-winged teal,0
1959,46,1400,Blue-winged teal,130169
1959,46,1420,Northern shoveler,9257
1959,46,1430,Northern pintail,8027
1959,46,1460,Redhead,5549
